idc;grad;idg;idm;idd;isg;ism;isd;Grad.;Mest.;Dout.;InstG;InstM;InstD;
33;89;16;17;1;1;1;Licenciatura em Matemática;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1522;228;229;230;8;8;8;Engenharia Naval e Oceânica;Engenharia Naval e Oceânica;Engenharia Naval e Oceânica;Universidade de São Paulo;Universidade de São Paulo;Universidade de São Paulo;
90;285;16;17;101;1;1;ENGENHARIA MECANICA;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Pernambuco;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1539;150;120;127;19;19;1;Engenharia Elétrica;Engenharia Elétrica;Engenharia Elétrica;Universidade Federal de Santa Maria;Universidade Federal de Santa Maria;Universidade Federal de Santa Catarina;
1552;150;46;17;1;113;1;Engenharia Elétrica;Física;Engenharia Mecânica;Universidade Federal de Santa Catarina;Departamento de Física;Universidade Federal de Santa Catarina;
122;371;16;17;1;1;1;Física;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1592;48;429;230;151;3;8;Engenharia Civil;Administração de Empresas (conceito 5 CAPES);Engenharia Naval e Oceânica;Associação Educacional Veiga de Almeida (UVA-Uni;Pontifícia Universidade Católica do Paraná;Universidade de São Paulo;
151;443;148;58;30;30;30;Matematica;Matemática;Matemática;Universidade Estadual de Maringá;Universidade Estadual de Maringá;Universidade Estadual de Maringá;
158;459;10;17;1;133;133;Engenharia Mecanica;Engenharia de Produção;Engenharia Mecânica;Universidade Federal de Santa Catarina;Rheinisch-Westfalische Technische Hochschule Aache;Rheinisch-Westfalische Technische Hochschule Aache;
162;150;120;470;137;137;164;Engenharia Elétrica;Engenharia Elétrica;Engenharia Eletrônica e Computação;Universidade Federal de Minas Gerais;Universidade Federal de Minas Gerais;Instituto Tecnológico de Aeronáutica;
1630;511;0;512;1;0;189;ENGENHARIA DE MATERIAIS;;Engenharia Metalúrgica e de Materiais;Universidade Federal de Santa Catarina;;Universidade de Bremen;
1659;587;588;425;1;1;1;Engenharia mecanica;Programa de Pós-Graduação em Egenharia Mecânica;Programa de Pós Graduação em Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1670;609;185;17;226;29;1;Matemática Aplicada e Computacional;Matemática Aplicada;Engenharia Mecânica;Universidade de Santa Cruz do Sul;Universidade Federal do Rio Grande do Sul;Universidade Federal de Santa Catarina;
1680;459;16;17;1;1;1;Engenharia Mecanica;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
240;256;644;645;4;48;48;Bacharelado em Química;Ciência e Engenharia dos Materiais;Ciência e Engenharia dos Materiais;Universidade Federal do Paraná;Universidade Federal de São Carlos;Universidade Federal de São Carlos;
1693;662;16;17;1;1;1;Engenharia mecânica;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
251;463;120;127;7;1;43;Ciência da Computação;Engenharia Elétrica;Engenharia Elétrica;Universidade do Vale do Itajaí;Universidade Federal de Santa Catarina;Universidade do Estado de Santa Catarina;
267;702;10;703;1;1;1;Engenharia de Produção Elétrica;Engenharia de Produção;Doutorado em Engenharia de Produção & Sistemas - PPGEPS/UFSC;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
280;15;0;17;1;0;1;Engenharia Mecânica;;Engenharia Mecânica;Universidade Federal de Santa Catarina;;Universidade Federal de Santa Catarina;
1741;150;120;127;1;1;276;Engenharia Elétrica;Engenharia Elétrica;Engenharia Elétrica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Ecole Centrale de Lyon;
298;443;148;58;30;30;8;Matematica;Matemática;Matemática;Universidade Estadual de Maringá;Universidade Estadual de Maringá;Universidade de São Paulo;
1748;163;10;11;12;1;1;Matemática;Engenharia de Produção;Engenharia de Produção;Universidade da Região de Joinville;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
311;339;120;127;122;1;1;Engenharia de Computação;Engenharia Elétrica;Engenharia Elétrica;Universidade Federal do Rio Grande;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1760;15;0;17;20;0;1;Engenharia Mecânica;;Engenharia Mecânica;Universidade Estadual Paulista Júlio de Mesquita ;;Universidade Federal de Santa Catarina;
344;849;16;17;306;1;1;Ingenieria Mecánica;Engenharia Mecânica;Engenharia Mecânica;Universidad Francisco de Paula Santander;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
